Epochs,numMFs,TypeMF,OutputMF,Split_1,Split_2,Split_3,Mean,Std,MeanTime,StdTime
125,5,gbellmf,linear,0.389828120734621,0.39198617696609,0.374937262212148,0.385583853304287,0.00928314214514363,3.41418933333333,0.0814002469490316
100,5,gbellmf,linear,0.396488851371719,0.401287774340769,0.39062957110341,0.396135398938633,0.00533788539864362,2.77324363333333,0.0825287215823882
75,5,gbellmf,linear,0.405440399083025,0.407040893474425,0.409596259097948,0.407359183885132,0.0020961332746442,2.18040396666667,0.148092706327636
125,7,gbellmf,constant,0.374414137099329,0.570853200642228,0.359765415439691,0.435010917727083,0.11787065212454,2.9325357,0.222833943046139
100,7,gbellmf,constant,0.375370751771747,0.573891168463684,0.366816807390716,0.438692909208716,0.117163217224088,2.27261193333333,0.0483521520464533
75,7,gbellmf,constant,0.529416906508784,0.577815750966845,0.395485569428651,0.50090607563476,0.094449586461684,2.00796826666667,0.0572809857148367
100,10,gaussmf,constant,0.502147518136646,0.515192657242182,0.532941046975119,0.516760407451316,0.015456511091451,4.1770095,0.0463988229638426
75,10,gaussmf,constant,0.502414902178053,0.51539585409284,0.532941046975119,0.516917267748671,0.0153198369337589,4.0017063,0.0425369031772411
125,10,gaussmf,constant,0.502216983975813,0.515642827717125,0.532941046975119,0.516933619556019,0.0154026497549883,6.62321413333333,0.496306483830569
50,10,gaussmf,constant,0.50366266149946,0.519129500423273,0.532941046975119,0.518577736299284,0.014646989340875,2.3237288,0.0249462703320557
50,5,gbellmf,linear,0.431536940384764,0.534318667980338,0.692384235237247,0.552746614534116,0.131396422015998,1.79453473333333,0.475961266870166
50,7,gbellmf,constant,0.549993955421908,0.607425261365144,0.612093371510234,0.589837529432429,0.0345843982964945,1.28494996666667,0.0316176145678849
125,7,gaussmf,constant,0.524325274211544,0.758924811730407,0.629679892955137,0.637643326299029,0.117502331695942,2.71715033333333,0.0469870099974806
100,7,gaussmf,constant,0.527531837368357,0.758924811730407,0.652909289062807,0.646455312720524,0.115831418466663,2.3439363,0.0706630261348183
75,7,gaussmf,constant,0.551713039219028,0.758924811730407,0.705396704321281,0.672011518423572,0.107564434851373,1.61191086666667,0.0384976644827102
50,7,gaussmf,constant,0.647209826249561,0.758924811730407,0.690907135847437,0.699013924609135,0.0562969760579243,1.16198353333333,0.0257087567903104
125,5,gbellmf,constant,0.977031276846974,0.876521919774882,0.910403550778995,0.921318915800284,0.0511360108917611,1.75941233333333,0.0989979144660297
100,5,gbellmf,constant,1.06723503592946,0.962267508845529,1.00905916542598,1.01285390340032,0.0525865521093512,2.41797066666667,1.82285212533448
125,5,gaussmf,constant,1.11257271972408,1.00012217248494,1.11165201507392,1.07478230242764,0.0646592079796824,1.39330333333333,0.0134193575130604
100,5,gaussmf,constant,1.12422779790747,1.0138101702902,1.13234972220661,1.09012923013476,0.0662188839021641,1.13633603333333,0.0748330660287505
75,5,gaussmf,constant,1.13628468901937,1.03579890543113,1.15752567549947,1.10986975664999,0.0650204823642235,0.8618888,0.0456147416596871
75,5,gbellmf,constant,1.1837255176836,1.19156885998973,1.2073134390986,1.19420260559064,0.0120124922929355,1.11024636666667,0.0685103591189195
50,5,gaussmf,constant,1.23228187246636,1.13442651783325,1.25417736903602,1.20696191977854,0.0637643442217664,0.6077177,0.0251913357827647
50,5,gbellmf,constant,1.30345078253511,1.12909007178574,1.35131163860124,1.26128416430736,0.116957787081735,0.7500223,0.0396547668449835
125,2,gaussmf,linear,2.34339978708337,2.22983182310347,2.24229763000061,2.27184308006248,0.0622825884590036,0.4358025,0.0643560505699348
100,2,gaussmf,linear,2.52245143009702,2.39294094038299,2.42031889695949,2.4452370891465,0.0682563474183394,0.3483783,0.020163776813137
75,2,gaussmf,linear,2.83096093683958,2.6742867033864,2.72997371869812,2.74507378630803,0.0794211111002832,0.258602833333333,0.00896080787113157
125,2,gaussmf,constant,3.1179425959936,3.14581151789247,2.98180954236093,3.08185455208233,0.0877548983223646,0.388338066666667,0.00817900056812158
50,2,gaussmf,linear,3.20243800820826,3.02632485287988,3.09189046830744,3.10688444313186,0.0890088497325188,0.181895233333333,0.00749877737856869
100,2,gaussmf,constant,3.23419198907289,3.26227667063131,3.07811682865536,3.19152849611985,0.0992161381649499,0.3245463,0.0282843372329988
75,2,gaussmf,constant,3.45442710467265,3.47864350261561,3.30492056605905,3.4126637244491,0.0940906457477648,0.218584533333333,0.0203307890238754
125,2,gbellmf,linear,3.59249920394959,3.4194560066889,3.52107998597159,3.51101173220336,0.0869598432036685,0.5915208,0.00755676074518701
75,2,gbellmf,linear,3.59484547651034,3.45048158542338,3.49542831696617,3.51358512629996,0.07387479648926,0.380693733333333,0.0254691535174087
100,2,gbellmf,linear,3.58298935078498,3.43439866677285,3.57046071760533,3.52928291172106,0.0824105977218988,0.480112033333333,0.0211414669761427
50,2,gbellmf,linear,3.63371253008187,3.4876011339934,3.62829981346941,3.58320449251489,0.0828391573817777,0.261493366666667,0.0251889934219955
50,2,gaussmf,constant,3.76121285382839,3.77255195223881,3.61871165253179,3.71749215286633,0.0857340902030638,0.1652209,0.0126692350901702
75,2,gbellmf,constant,3.81974189286822,3.99226742348228,3.85069291910547,3.88756741181866,0.0919840249068104,0.310613733333333,0.0280749738743126
125,2,gbellmf,constant,3.8098652103509,3.91819016706759,3.94909094638173,3.89238210793341,0.0731128807429728,0.536407833333333,0.00303520645481214
100,2,gbellmf,constant,3.82122692104604,3.93627936319879,3.96437772340289,3.90729466921591,0.075849340259579,0.4327604,0.0205418553370916
50,2,gbellmf,constant,4.15771245438954,4.16883788281191,3.92414864920978,4.08356632880374,0.138171781542895,0.213085566666667,0.00998629345670021
